FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
16063.0,Lincoln,Idaho,US,2021-01-02 05:22:33,43.0012336,-114.1358773,434,9,0,425,"Lincoln, Idaho, US",8087.961237420797,2.0737327188940093
16065.0,Madison,Idaho,US,2021-01-02 05:22:33,43.78141028,-111.65384740000002,5248,18,0,5230,"Madison, Idaho, US",13150.575087077455,0.3429878048780488
17077.0,Jackson,Illinois,US,2021-01-02 05:22:33,37.78595185,-89.38232563,3650,51,0,3599,"Jackson, Illinois, US",6431.718061674009,1.3972602739726028
17119.0,Madison,Illinois,US,2021-01-02 05:22:33,38.83042506,-89.90422563,21054,341,0,20713,"Madison, Illinois, US",8006.358236426002,1.619644723092999
17135.0,Montgomery,Illinois,US,2021-01-02 05:22:33,39.23198845,-89.47809254,2166,22,0,2144,"Montgomery, Illinois, US",7623.002745125642,1.0156971375807942
18071.0,Jackson,Indiana,US,2021-01-02 05:22:33,38.90915820000001,-86.03851889,3788,54,0,3734,"Jackson, Indiana, US",8564.1292306301,1.4255543822597676
18095.0,Madison,Indiana,US,2021-01-02 05:22:33,40.16143691,-85.71964711,9071,225,0,8846,"Madison, Indiana, US",7000.902993771659,2.480432146400618
18107.0,Montgomery,Indiana,US,2021-01-02 05:22:33,40.04034823,-86.89335024,2889,65,0,2824,"Montgomery, Indiana, US",7535.6043612082,2.249913464866736
19057.0,Des Moines,Iowa,US,2021-01-02 05:22:33,40.92012606,-91.18326592,3548,34,0,3514,"Des Moines, Iowa, US",9105.14024687556,0.9582863585118376
19097.0,Jackson,Iowa,US,2021-01-02 05:22:33,42.17178824,-90.57354837,1785,29,0,1756,"Jackson, Iowa, US",9182.571119913577,1.6246498599439776
19121.0,Madison,Iowa,US,2021-01-02 05:22:33,41.33081904,-94.01554631,975,8,0,967,"Madison, Iowa, US",5967.682702901212,0.8205128205128205
19137.0,Montgomery,Iowa,US,2021-01-02 05:22:33,41.03018714,-95.15642896,770,15,0,755,"Montgomery, Iowa, US",7764.444892608652,1.948051948051948
20023.0,Cheyenne,Kansas,US,2021-01-02 05:22:33,39.78580976,-101.7318201,284,10,0,274,"Cheyenne, Kansas, US",10688.746706812197,3.5211267605633805
20085.0,Jackson,Kansas,US,2021-01-02 05:22:33,39.41673394,-95.79356799,1039,10,0,1029,"Jackson, Kansas, US",7888.543011160884,0.9624639076034648
20105.0,Lincoln,Kansas,US,2021-01-02 05:22:33,39.04549684,-98.20756994,217,2,0,215,"Lincoln, Kansas, US",7326.130992572586,0.9216589861751152
20125.0,Montgomery,Kansas,US,2021-01-02 05:22:33,37.19236568,-95.74329258,2316,27,0,2289,"Montgomery, Kansas, US",7276.383172578466,1.16580310880829
21109.0,Jackson,Kentucky,US,2021-01-02 05:22:33,37.41866422,-83.99825483,846,19,0,827,"Jackson, Kentucky, US",6347.062795408508,2.2458628841607564
21137.0,Lincoln,Kentucky,US,2021-01-02 05:22:33,37.45475628,-84.6565327,1443,23,0,1420,"Lincoln, Kentucky, US",5878.039838689967,1.593901593901594
21151.0,Madison,Kentucky,US,2021-01-02 05:22:33,37.71659336,-84.27220275,5706,35,0,5671,"Madison, Kentucky, US",6136.34163915386,0.6133894146512443
21173.0,Montgomery,Kentucky,US,2021-01-02 05:22:33,38.03253032,-83.9145241,1378,12,0,1366,"Montgomery, Kentucky, US",4893.987285577298,0.8708272859216255
22049.0,Jackson,Louisiana,US,2021-01-02 05:22:33,32.30251776,-92.55692092,1392,38,0,1354,"Jackson, Louisiana, US",8841.463414634147,2.7298850574712645
22061.0,Lincoln,Louisiana,US,2021-01-02 05:22:33,32.6003154,-92.6659741,3339,73,0,3266,"Lincoln, Louisiana, US",7143.468401009798,2.18628331835879
22065.0,Madison,Louisiana,US,2021-01-02 05:22:33,32.36918118,-91.23973355,1307,18,0,1289,"Madison, Louisiana, US",11934.98310656561,1.3771996939556237
23015.0,Lincoln,Maine,US,2021-01-02 05:22:33,44.05996956,-69.54227124,308,2,0,306,"Lincoln, Maine, US",889.2995322515447,0.6493506493506493
24031.0,Montgomery,Maryland,US,2021-01-02 05:22:33,39.13676329,-77.20358245,46717,1129,0,45588,"Montgomery, Maryland, US",4446.324693914844,2.4166791531990497
26075.0,Jackson,Michigan,US,2021-01-02 05:22:33,42.24807035,-84.42258681,7675,154,0,7521,"Jackson, Michigan, US",4841.965806573718,2.006514657980456
